Date;Ano;Mês;Nome_mês;Trimestre;Dia;Dia_da_Semana;Tipo_dia
08/09/2017;2017;9;setembro;3;8;sexta-feira;DIA UTIL
09/09/2017;2017;9;setembro;3;9;sábado;FINAL DE SEMANA
10/09/2017;2017;9;setembro;3;10;domingo;FINAL DE SEMANA
11/09/2017;2017;9;setembro;3;11;segunda-feira;DIA UTIL
12/09/2017;2017;9;setembro;3;12;terça-feira;DIA UTIL
13/09/2017;2017;9;setembro;3;13;quarta-feira;DIA UTIL
14/09/2017;2017;9;setembro;3;14;quinta-feira;DIA UTIL
15/09/2017;2017;9;setembro;3;15;sexta-feira;DIA UTIL
16/09/2017;2017;9;setembro;3;16;sábado;FINAL DE SEMANA
17/09/2017;2017;9;setembro;3;17;domingo;FINAL DE SEMANA
18/09/2017;2017;9;setembro;3;18;segunda-feira;DIA UTIL
19/09/2017;2017;9;setembro;3;19;terça-feira;DIA UTIL
20/09/2017;2017;9;setembro;3;20;quarta-feira;DIA UTIL
21/09/2017;2017;9;setembro;3;21;quinta-feira;DIA UTIL
22/09/2017;2017;9;setembro;3;22;sexta-feira;DIA UTIL
23/09/2017;2017;9;setembro;3;23;sábado;FINAL DE SEMANA
24/09/2017;2017;9;setembro;3;24;domingo;FINAL DE SEMANA
25/09/2017;2017;9;setembro;3;25;segunda-feira;DIA UTIL
26/09/2017;2017;9;setembro;3;26;terça-feira;DIA UTIL
27/09/2017;2017;9;setembro;3;27;quarta-feira;DIA UTIL
28/09/2017;2017;9;setembro;3;28;quinta-feira;DIA UTIL
29/09/2017;2017;9;setembro;3;29;sexta-feira;DIA UTIL
30/09/2017;2017;9;setembro;3;30;sábado;FINAL DE SEMANA
01/10/2017;2017;10;outubro;4;1;domingo;FINAL DE SEMANA
02/10/2017;2017;10;outubro;4;2;segunda-feira;DIA UTIL
03/10/2017;2017;10;outubro;4;3;terça-feira;DIA UTIL
04/10/2017;2017;10;outubro;4;4;quarta-feira;DIA UTIL
05/10/2017;2017;10;outubro;4;5;quinta-feira;DIA UTIL
06/10/2017;2017;10;outubro;4;6;sexta-feira;DIA UTIL
07/10/2017;2017;10;outubro;4;7;sábado;FINAL DE SEMANA
08/10/2017;2017;10;outubro;4;8;domingo;FINAL DE SEMANA
09/10/2017;2017;10;outubro;4;9;segunda-feira;DIA UTIL
10/10/2017;2017;10;outubro;4;10;terça-feira;DIA UTIL
11/10/2017;2017;10;outubro;4;11;quarta-feira;DIA UTIL
12/10/2017;2017;10;outubro;4;12;quinta-feira;FERIADO
13/10/2017;2017;10;outubro;4;13;sexta-feira;DIA UTIL
14/10/2017;2017;10;outubro;4;14;sábado;FINAL DE SEMANA
15/10/2017;2017;10;outubro;4;15;domingo;FINAL DE SEMANA
16/10/2017;2017;10;outubro;4;16;segunda-feira;DIA UTIL
17/10/2017;2017;10;outubro;4;17;terça-feira;DIA UTIL
18/10/2017;2017;10;outubro;4;18;quarta-feira;DIA UTIL
19/10/2017;2017;10;outubro;4;19;quinta-feira;DIA UTIL
20/10/2017;2017;10;outubro;4;20;sexta-feira;DIA UTIL
21/10/2017;2017;10;outubro;4;21;sábado;FINAL DE SEMANA
22/10/2017;2017;10;outubro;4;22;domingo;FINAL DE SEMANA
23/10/2017;2017;10;outubro;4;23;segunda-feira;DIA UTIL
24/10/2017;2017;10;outubro;4;24;terça-feira;DIA UTIL
25/10/2017;2017;10;outubro;4;25;quarta-feira;DIA UTIL
